,global_step,wall_time,train_loss,test_loss
0,1,5.1975250244140625e-05,1.4963496923446655,1.4854483604431152
1,2,0.3662688732147217,1.14596688747406,1.1300569772720337
2,3,0.723982572555542,0.9600280523300171,0.9417465925216675
3,4,1.0183579921722412,0.8458468317985535,0.8264707326889038
4,5,1.3057096004486084,0.76901775598526,0.7491781115531921
5,6,1.594057321548462,0.7138113975524902,0.6938220858573914
6,7,1.8755731582641602,0.67206209897995,0.6520780920982361
7,8,2.154550075531006,0.6392083764076233,0.6193052530288696
8,9,2.4362711906433105,0.6125583052635193,0.5927723050117493
9,10,2.745478868484497,0.590433657169342,0.5707827210426331
10,11,3.0243947505950928,0.5717296004295349,0.5522216558456421
11,12,3.418064832687378,0.5556807518005371,0.5363193154335022
12,13,3.706177234649658,0.5417363047599792,0.5225218534469604
13,14,4.025750637054443,0.5294881463050842,0.5104212164878845
14,15,4.341977596282959,0.5186285376548767,0.49970829486846924
15,16,4.6251585483551025,0.5089211463928223,0.4901467263698578
16,17,4.962583541870117,0.500181257724762,0.48155155777931213
17,18,5.271716833114624,0.4922623038291931,0.47377651929855347
18,19,5.587498188018799,0.4850473701953888,0.466703861951828
19,20,5.921748399734497,0.47844019532203674,0.4602378010749817
20,21,6.20718240737915,0.47236204147338867,0.4542994201183319
21,22,6.519712448120117,0.466747909784317,0.4488235414028168
22,23,6.8418354988098145,0.46154263615608215,0.4437551200389862
23,24,7.45720648765564,0.45670023560523987,0.43904784321784973
24,25,7.931969404220581,0.45218127965927124,0.4346626102924347
25,26,8.444684267044067,0.4479520618915558,0.43056532740592957
26,27,8.90533995628357,0.4439835846424103,0.42672720551490784
27,28,9.225998640060425,0.44025054574012756,0.42312294244766235
28,29,9.518522262573242,0.4367310404777527,0.4197305738925934
29,30,10.353128433227539,0.4334060549736023,0.416530966758728
30,31,10.891778707504272,0.4302586019039154,0.4135071337223053
31,32,11.28777003288269,0.42727333307266235,0.41064414381980896
32,33,11.578728437423706,0.42443764209747314,0.40792885422706604
33,34,12.163551568984985,0.4217391908168793,0.40534937381744385
34,35,12.531763553619385,0.419167697429657,0.4028953015804291
35,36,12.881747722625732,0.4167137145996094,0.4005570709705353
36,37,13.31175971031189,0.414368599653244,0.39832615852355957
37,38,13.82926607131958,0.4121246337890625,0.3961951434612274
38,39,14.275761365890503,0.40997523069381714,0.39415687322616577
39,40,14.569746255874634,0.4079135060310364,0.39220520853996277
40,41,14.941834211349487,0.40593421459198,0.39033424854278564
41,42,15.227398157119751,0.40403181314468384,0.3885389268398285
42,43,15.741794109344482,0.4022018313407898,0.38681450486183167
43,44,16.026365518569946,0.4004395306110382,0.38515663146972656
44,45,16.697985649108887,0.39874106645584106,0.3835613429546356
45,46,17.10242247581482,0.39710283279418945,0.38202476501464844
46,47,17.444222450256348,0.39552125334739685,0.3805438280105591
47,48,17.876789093017578,0.3939933776855469,0.37911519408226013
48,49,18.22387194633484,0.3925161063671112,0.37773609161376953
49,50,18.542766571044922,0.39108678698539734,0.3764037489891052
50,51,18.99193525314331,0.38970300555229187,0.37511584162712097
51,52,19.391772747039795,0.38836246728897095,0.373869925737381
52,53,19.724000692367554,0.38706275820732117,0.3726639449596405
53,54,20.078638315200806,0.38580211997032166,0.3714958727359772
54,55,20.361833333969116,0.3845787048339844,0.3703639805316925
55,56,20.729638814926147,0.38339051604270935,0.3692663013935089
56,57,21.036133289337158,0.3822360038757324,0.3682014048099518
57,58,21.36258101463318,0.38111376762390137,0.36716771125793457
58,59,21.767019510269165,0.3800222873687744,0.36616379022598267
59,60,22.05931520462036,0.37895992398262024,0.3651883900165558
