,global_step,wall_time,objective
0,1,4.0531158447265625e-05,40.86044692993164
1,2,0.03610968589782715,40.53247833251953
2,3,0.042229413986206055,40.208927154541016
3,4,0.047235965728759766,39.73051071166992
4,5,0.056288957595825195,38.798011779785156
5,6,0.06303715705871582,38.28643798828125
6,7,0.07065558433532715,38.1604118347168
7,8,0.07809305191040039,37.90705871582031
8,9,0.08471417427062988,37.55729675292969
9,10,0.09799742698669434,37.22930908203125
10,11,0.10826659202575684,36.92470169067383
11,12,0.11313223838806152,36.77030944824219
12,13,0.1169133186340332,36.73612976074219
13,14,0.1213076114654541,36.63801574707031
14,15,0.12749314308166504,36.5670280456543
15,16,0.13281726837158203,36.15269088745117
16,17,0.1369791030883789,36.01305389404297
17,18,0.1428070068359375,35.86804962158203
18,19,0.14984822273254395,35.652103424072266
19,20,0.15504932403564453,35.44232177734375
20,21,0.1585221290588379,35.213539123535156
21,22,0.1635608673095703,35.161224365234375
22,23,0.16865992546081543,35.090553283691406
23,24,0.17369413375854492,34.73329544067383
24,25,0.17850947380065918,34.55362319946289
25,26,0.1843724250793457,34.43472671508789
26,27,0.1896519660949707,34.328712463378906
27,28,0.19531702995300293,34.26030349731445
28,29,0.2016284465789795,34.16592025756836
29,30,0.20694446563720703,33.815311431884766
30,31,0.21181559562683105,33.678253173828125
31,32,0.2171180248260498,33.59568786621094
32,33,0.2218484878540039,33.46994400024414
33,34,0.22672581672668457,33.408992767333984
34,35,0.2310009002685547,33.363582611083984
35,36,0.236314058303833,33.17670822143555
36,37,0.24147748947143555,33.024742126464844
37,38,0.2458019256591797,32.851009368896484
38,39,0.2511470317840576,32.82462692260742
39,40,0.25783228874206543,32.53993225097656
40,41,0.2631704807281494,32.41960525512695
41,42,0.2681920528411865,32.35844421386719
42,43,0.2753255367279053,32.314910888671875
43,44,0.28189945220947266,32.00088119506836
44,45,0.28556156158447266,31.87493133544922
45,46,0.29111433029174805,31.863948822021484
46,47,0.29570555686950684,31.812572479248047
47,48,0.30388832092285156,31.739973068237305
48,49,0.3091318607330322,31.66459846496582
49,50,0.31567883491516113,31.600141525268555
50,51,0.32098984718322754,31.36520004272461
51,52,0.3254377841949463,31.273962020874023
52,53,0.3300206661224365,31.243432998657227
53,54,0.33419084548950195,31.189058303833008
54,55,0.33821773529052734,31.129613876342773
55,56,0.3419666290283203,31.104732513427734
56,57,0.3488442897796631,31.039228439331055
57,58,0.35212135314941406,30.96907615661621
58,59,0.358046293258667,30.87773323059082
59,60,0.362015962600708,30.836050033569336
60,61,0.36605072021484375,30.820514678955078
61,62,0.37064480781555176,30.735271453857422
62,63,0.3766438961029053,30.632314682006836
63,64,0.3839454650878906,30.5406494140625
64,65,0.39136242866516113,30.529794692993164
65,66,0.39954161643981934,30.42005729675293
66,67,0.41193652153015137,30.296934127807617
67,68,0.42248010635375977,30.24229621887207
68,69,0.4304158687591553,30.195711135864258
69,70,0.4358558654785156,30.17071533203125
70,71,0.4457700252532959,30.096569061279297
71,72,0.4639129638671875,30.004947662353516
72,73,0.4797511100769043,29.859100341796875
73,74,0.49373912811279297,29.62598419189453
74,75,0.5097513198852539,29.496994018554688
75,76,0.5169384479522705,29.423412322998047
76,77,0.5270941257476807,29.315513610839844
77,78,0.5320420265197754,29.216814041137695
78,79,0.5364131927490234,29.19329833984375
79,80,0.5406949520111084,29.158512115478516
80,81,0.5439066886901855,29.114030838012695
81,82,0.549199104309082,29.096759796142578
82,83,0.5545127391815186,29.05852508544922
83,84,0.5578296184539795,29.01986312866211
84,85,0.5615706443786621,28.996753692626953
85,86,0.5645782947540283,28.978246688842773
86,87,0.5701477527618408,28.941640853881836
87,88,0.5757002830505371,28.918682098388672
88,89,0.5791523456573486,28.899871826171875
